,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link
294,"Learn Python Programming: An in-depth introduction to the fundamentals of Python, 3rd Edition","['by ', 'Fabrizio Romano', ' and ', 'Heinrich Kruger']",,,,,[],[],[],[],[],,,,,,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A04727162Z7B90EG1YPCY&url=%2FLearn-Python-Programming-depth-introduction%2Fdp%2F1801815097%2Fref%3Dsr_1_116_sspa%3Fkeywords%3Dpython%26qid%3D1663459285%26sr%3D8-116-spons%26psc%3D1&qualifier=1663459285&id=824607835465787&widgetName=sp_mtf
295,Geometry for Programmers,"['by ', 'Oleksandr Kaleniuk']",$59.99,425 pages,,,[],[],[],[],[],7.38 x 1.06 x 9.25 inches,1.12 pounds,English,"Manning (February 28, 2023)", 978-1633439603,/Geometry-Programmers-Oleksandr-Kaleniuk/dp/1633439607/ref=sr_1_119?keywords=python&qid=1663459285&sr=8-119
296,Python: Quick Reference - Cheat Sheet - Print & Laminate,"['by ', 'Kaitlyn Chick']",,,,,[],[],[],[],[],,,,,,/Python-Quick-Reference-Cheat-Laminate-ebook/dp/B00FFT883M/ref=sr_1_106?keywords=python&qid=1663459285&sr=8-106
297,"Python One-Liners: Write Concise, Eloquent Python Like a Professional","['by ', 'Christian Mayer']",$35.81,216 pages,4.8 out of 5 stars,117 ratings,['\n            \n              81%\n            \n          '],['\n            \n              15%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              2%\n            \n          '],[],7.06 x 0.53 x 9.25 inches,14.4 ounces,English,"No Starch Press; Illustrated edition (June 2, 2020)", 978-1718500501,/Python-One-Liners-Concise-Eloquent-Professional/dp/1718500505/ref=sr_1_118?keywords=python&qid=1663459285&sr=8-118
298,"Practical Python Programming for IoT: Build advanced IoT projects using a Raspberry Pi 4, MQTT, RESTful APIs, WebSockets, and Python 3","['by ', 'Gary Smart']",,,,,[],[],[],[],[],,,,,,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A10250541713BCQ7J8PYK&url=%2FPractical-Python-Programming-IoT-WebSockets%2Fdp%2F1838982469%2Fref%3Dsr_1_114_sspa%3Fkeywords%3Dpython%26qid%3D1663459285%26sr%3D8-114-spons%26psc%3D1&qualifier=1663459285&id=824607835465787&widgetName=sp_mtf
299,"Expert Python Programming: Master Python by learning the best coding practices and advanced programming concepts, 4th Edition","['by ', 'Michal Jaworski', ' and ', 'Tarek Ziade']",$39.94,630 pages,4.5 out of 5 stars,57 ratings,['\n            \n              76%\n            \n          '],['\n            \n              12%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              6%\n            \n          '],[],7.5 x 1.42 x 9.25 inches,2.35 pounds,English,"Packt Publishing (May 28, 2021)", 978-1801071109,/Expert-Python-Programming-practices-programming/dp/1801071101/ref=sr_1_112?keywords=python&qid=1663459285&sr=8-112
300,"Simulation with Python: Develop Simulation and Modeling in Natural Sciences, Engineering, and Social Sciences","['by ', 'Rongpeng Li', ' and ', 'Aiichiro Nakano']",$39.99,181 pages,,,[],[],[],[],[],7 x 0.39 x 10 inches,11.7 ounces,English,"Apress; 1st ed. edition (August 24, 2022)", 978-1484281840,/Simulation-Python-Modeling-Sciences-Engineering/dp/1484281845/ref=sr_1_110?keywords=python&qid=1663459285&sr=8-110
301,"Python Programming for Beginners: An Introduction to the Python Computer Language and Computer Programming (Python, Python 3, Python Tutorial)","['by ', 'Jason Cannon']",,164 pages,4.5 out of 5 stars,976 ratings,['\n            \n              72%\n            \n          '],['\n            \n              15%\n            \n          '],['\n            \n              8%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              2%\n            \n          '],,,English,,,/Python-Programming-Beginners-Introduction-Computer-ebook/dp/B00N4IQRD4/ref=sr_1_109?keywords=python&qid=1663459285&sr=8-109
302,"Learn Python Programming: This Book Will Teach You About the Language, Data Analysis, and Algorithms and Will Level up Your Skills in Computer Programming to Become an Expert Pythonista","['by ', 'Michael Learn', ', ', 'Kevin Tromp', ', et al.']",,,3.2 out of 5 stars,6 ratings,['\n            \n              45%\n            \n          '],['\n            \n              39%\n            \n          '],['\n            \n              15%\n            \n          '],[],[],,,,,,/Learn-Python-Programming-audiobook/dp/B081QMFNL2/ref=sr_1_111?keywords=python&qid=1663459285&sr=8-111
303,Python Data Science Handbook: Essential Tools for Working with Data,"['by ', 'Jake VanderPlas']",$66.49,550 pages,,,[],[],[],[],[],,1.11 pounds,English,"O'Reilly Media; 2nd edition (January 31, 2023)", 978-1098121228,/Python-Data-Science-Handbook-Essential/dp/1098121228/ref=sr_1_107?keywords=python&qid=1663459285&sr=8-107
