,titles,authors,dates
14,"A Common-Sense Guide to Data Structures and Algorithms, Second Edition: Level Up Your Core Programming Skills","['by ', 'Jay Wengrow']","['Sep 15, 2020']"
15,Introduction to Machine Learning with Python: A Guide for Data Scientists,"['by ', 'Andreas Müller', ' and ', 'Sarah Guido']","['Nov 15, 2016']"
0,Quantitative Social Science Data with R: An Introduction,"['by ', 'Brian J Fogarty']","['Jan 16, 2019']"
1,Making Numbers Count: The Art and Science of Communicating Numbers,"['by ', 'Chip Heath', ' and ', 'Karla Starr']","['Jan 11, 2022']"
2,Data Science Programming All-in-One For Dummies,"['by ', 'John Paul Mueller', ' and ', 'Luca Massaron']","['Dec 10, 2019']"
3,Principles for Dealing with the Changing World Order: Why Nations Succeed or Fail,"['by ', 'Ray Dalio', ', ', 'Jeremy Bobb', ', et al.']",[]
4,Python Data Science Handbook: Essential Tools for Working with Data,"['by ', 'Jake VanderPlas']","['Jan 31, 2023']"
5,Categorical Data Analysis and Multilevel Modeling Using R,"['by ', 'Xing Liu']","['Feb 25, 2022']"
6,Comet for Data Science: Enhance your ability to manage and optimize the life cycle of your data science project,"['by ', 'Angelica Lo Duca', ' and ', 'Gideon Mendels']","['Aug 26, 2022']"
7,The Enterprise Big Data Lake: Delivering the Promise of Big Data and Data Science,"['by ', 'Alex Gorelik']","['Feb 21, 2019']"
8,Data Science: Concepts and Practice,"['by ', 'Vijay Kotu', ' and ', 'Bala Deshpande']","['Dec 21, 2018']"
9,Democracy's Data: The Hidden Stories in the U.S. Census and How to Read Them,"['by ', 'Dan Bouk']","['Aug 23, 2022']"
10,"Listening to People: A Practical Guide to Interviewing, Participant Observation, Data Analysis, and Writing It All Up (Chicago Guides to Writing, Editing, and Publishing)","['by ', 'Annette Lareau']","['Oct 15, 2021']"
11,"Data Science From Scratch: The #1 Data Science Guide For Everything A Data Scientist Needs To Know: Python, Linear Algebra, Statistics, Coding, Applications, Neural Networks, And Decision Trees","['by ', 'Steven Cooper']","['Nov 10, 2019']"
12,How Not to Be Wrong: The Power of Mathematical Thinking,"['by ', 'Jordan Ellenberg', ' and ', 'Penguin Audio']",[]
13,Data Pipelines with Apache Airflow,"['by ', 'Bas P. Harenslak', ' and ', 'Julian Rutger de Ruiter']","['Apr 27, 2021']"
14,Human-Centered Data Science: An Introduction,"['by ', 'Cecilia Aragon', ', ', 'Shion Guha', ', et al.']","['Mar 1, 2022']"
15,The Data Science Design Manual (Texts in Computer Science),"['by ', 'Steven S. Skiena']","['Aug 29, 2017']"
