,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link
274,Exploratory Data Analysis with R,"['by ', 'Roger Peng']",$20.00,208 pages,4.3 out of 5 stars,7 ratings,['\n            \n              44%\n            \n          '],['\n            \n              44%\n            \n          '],['\n            \n              11%\n            \n          '],[],[],8.5 x 0.47 x 11 inches,1.06 pounds,English,"lulu.com (April 20, 2016)", 978-1365060069,/Exploratory-Data-Analysis-Roger-Peng/dp/1365060063/ref=sr_1_197?keywords=data+analysis&qid=1663454656&sr=8-197
275,The Data Wrangling Workshop: Create your own actionable insights using data from multiple raw sources,"['by ', 'Brian Lipp', ', ', 'Shubhadeep Roychowdhury', ', et al.']", $16.02 ,653 pages,4.6 out of 5 stars,21 ratings,['\n            \n              66%\n            \n          '],['\n            \n              23%\n            \n          '],['\n            \n              11%\n            \n          '],[],[],,,English,"Packt Publishing; 2nd edition (July 29, 2020)",,/Data-Wrangling-Workshop-actionable-insights-ebook/dp/B08Q8FHSZC/ref=sr_1_173?keywords=data+analysis&qid=1663454642&sr=8-173
276,Hands on Azure Data Studio: Microsoft's Open Platform for Data Engineering and Analytics,"['by ', 'Jim Miller']",$9.99,142 pages,4.3 out of 5 stars,5 ratings,['\n            \n              54%\n            \n          '],['\n            \n              23%\n            \n          '],['\n            \n              23%\n            \n          '],[],[],6 x 0.32 x 9 inches,7.1 ounces,English,"Independently published (March 26, 2021)", 979-8728862352,/Hands-Azure-Data-Studio-Engineering/dp/B0915M613P/ref=sr_1_175?keywords=data+analysis&qid=1663454642&sr=8-175
277,Data Structures & Algorithm Analysis in C++,"['by ', 'Mark Weiss']",$177.32,664 pages,4.2 out of 5 stars,91 ratings,['\n            \n              64%\n            \n          '],['\n            \n              12%\n            \n          '],['\n            \n              12%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              8%\n            \n          '],1.1 x 7.5 x 9.2 inches,2.54 pounds,English,"Pearson; 4th edition (June 13, 2013)", 978-0132847377,/Data-Structures-Algorithm-Analysis-C/dp/013284737X/ref=sr_1_170?keywords=data+analysis&qid=1663454642&sr=8-170
278,"The Esri Guide to GIS Analysis, Volume 2: Spatial Measurements and Statistics",[' '],$45.49,288 pages,4.7 out of 5 stars,15 ratings,['\n            \n              75%\n            \n          '],['\n            \n              16%\n            \n          '],['\n            \n              9%\n            \n          '],[],[],7.5 x 0.65 x 9.25 inches,1.45 pounds,English,"Esri Press; Second edition (January 5, 2021)", 978-1589486089,/Esri-Guide-GIS-Analysis-Measurements/dp/1589486080/ref=sr_1_171?keywords=data+analysis&qid=1663454642&sr=8-171
279,Regression Analysis: An Intuitive Guide for Using and Interpreting Linear Models,"['by ', 'Jim Frost']",$23.74,355 pages,4.6 out of 5 stars,127 ratings,['\n            \n              77%\n            \n          '],['\n            \n              12%\n            \n          '],['\n            \n              7%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              3%\n            \n          '],6 x 0.8 x 9 inches,1.05 pounds,English,"Statistics By Jim Publishing (October 16, 2020)", 978-1735431185,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A093771331G1XR2BZS10S&url=%2FRegression-Analysis-Intuitive-Interpreting-Linear%2Fdp%2F1735431184%2Fref%3Dsr_1_194_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1663454656%26sr%3D8-194-spons%26psc%3D1&qualifier=1663454656&id=8998586767692949&widgetName=sp_atf_next
280,Maximize Your Book Sales With Data Analysis: The Cure for Authorship Analysis Paralysis,"['by ', 'Mike Kowis', ' and ', 'Sharon C. Jenkins']", $0.99 ,23 pages,4.2 out of 5 stars,23 ratings,['\n            \n              59%\n            \n          '],['\n            \n              18%\n            \n          '],['\n            \n              14%\n            \n          '],['\n            \n              9%\n            \n          '],[],,,English,"Lecture PRO Publishing (August 28, 2018)",,/Maximize-Your-Book-Sales-Analysis-ebook/dp/B07GXC8SGG/ref=sr_1_168?keywords=data+analysis&qid=1663454642&sr=8-168
281,"R in Action, Third Edition: Data analysis and graphics with R and Tidyverse","['by ', 'Robert I. Kabacoff']",$56.99,656 pages,4.6 out of 5 stars,8 ratings,['\n            \n              82%\n            \n          '],['\n            \n              18%\n            \n          '],[],[],[],7.38 x 1.5 x 9.25 inches,2.15 pounds,English,"Manning; 3rd edition (May 3, 2022)", 978-1617296055,/Action-Third-Robert-I-Kabacoff/dp/1617296058/ref=sr_1_169?keywords=data+analysis&qid=1663454642&sr=8-169
282,"The Handbook for Collaborative Common Assessments: Tools for Design, Delivery, and Data Analysis (Practical Measures for Improving Your Collaborative Common Assessment Process)","['by ', 'Cassandra Erkens']",$39.95,264 pages,4.8 out of 5 stars,7 ratings,['\n            \n              80%\n            \n          '],['\n            \n              20%\n            \n          '],[],[],[],8.75 x 0.75 x 11.25 inches,1.65 pounds,English,"Solution Tree Press (June 7, 2019)", 978-1942496861,/Handbook-Collaborative-Common-Assessments-Assessment/dp/1942496869/ref=sr_1_167?keywords=data+analysis&qid=1663454642&sr=8-167
283,DATA ANALYTICS: A Comprehensive Beginner’s Guide To Learn About The Realms Of Data Analytics From A-Z,[' '],$19.99,153 pages,4.2 out of 5 stars,37 ratings,['\n            \n              59%\n            \n          '],['\n            \n              15%\n            \n          '],['\n            \n              20%\n            \n          '],['\n            \n              6%\n            \n          '],[],6 x 0.35 x 9 inches,7.5 ounces,English,"Independently published (April 26, 2020)", 979-8640455267,/DATA-ANALYTICS-Comprehensive-Beginners-Analytics/dp/B087L36G1T/ref=sr_1_166?keywords=data+analysis&qid=1663454642&sr=8-166
284,Learn Microsoft PowerApps: Build customized business applications without writing any code,"['by ', 'Matthew Weston']",$39.89,560 pages,4.2 out of 5 stars,164 ratings,['\n            \n              55%\n            \n          '],['\n            \n              25%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              7%\n            \n          '],7.5 x 1.27 x 9.25 inches,2.09 pounds,English,"Packt Publishing (November 29, 2019)", 978-1789805826,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A01103361KSR3FWA66Q66&url=%2FLearn-Microsoft-PowerApps-customized-applications%2Fdp%2F1789805821%2Fref%3Dsr_1_195_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1663454656%26sr%3D8-195-spons%26psc%3D1&qualifier=1663454656&id=8998586767692949&widgetName=sp_atf_next
285,"Excel 2022: The #1 Guide To Master Microsoft Excel in Less Than 5 Minutes For Day | Discover All the Functions, Tools and Formulas Through Simple Step-by-Step Tutorials and Examples","['by ', 'Marsh Wheeler']", $15.97 ,95 pages,5.0 out of 5 stars,266 ratings,['\n            \n              96%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              1%\n            \n          '],[],[],8.5 x 0.22 x 11 inches,10.9 ounces,English,"Independently published (September 7, 2022)",,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A03600371J665V5AWOYC0&url=%2FExcel-2022-Microsoft-Step-Step%2Fdp%2FB0BD2CQKBB%2Fref%3Dsr_1_196_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1663454656%26sr%3D8-196-spons%26psc%3D1&qualifier=1663454656&id=8998586767692949&widgetName=sp_atf_next
286,Practical Data Science with Python: Learn tools and techniques from hands-on examples to extract insights from data,"['by ', 'Nathan George']",$51.99,620 pages,4.7 out of 5 stars,21 ratings,['\n            \n              82%\n            \n          '],['\n            \n              8%\n            \n          '],['\n            \n              9%\n            \n          '],[],[],7.5 x 1.4 x 9.25 inches,2.31 pounds,English,"Packt Publishing (September 30, 2021)", 978-1801071970,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A03905121U6XJXPNBHIFG&url=%2FPractical-Data-Science-Python-hands%2Fdp%2F1801071977%2Fref%3Dsr_1_193_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1663454656%26sr%3D8-193-spons%26psc%3D1&qualifier=1663454656&id=8998586767692949&widgetName=sp_atf_next
287,"The Applied SQL Data Analytics Workshop: Develop your practical skills and prepare to become a professional data analyst, 2nd Edition","['by ', 'Matt Goldwasser', ', ', 'Upom Malik', ', et al.']",$34.99,484 pages,4.6 out of 5 stars,40 ratings,['\n            \n              71%\n            \n          '],['\n            \n              21%\n            \n          '],['\n            \n              8%\n            \n          '],[],[],7.5 x 1.09 x 9.25 inches,1.67 pounds,English,"Packt Publishing (February 28, 2020)", 978-1800203679,/Applied-SQL-Data-Analytics-Workshop/dp/1800203675/ref=sr_1_159?keywords=data+analysis&qid=1663454642&sr=8-159
288,"Machine Learning and Big Data Analytics Paradigms: Analysis, Applications and Challenges (Studies in Big Data, 77)",[' '],$13.32,659 pages,,,[],[],[],[],[],6.14 x 1.44 x 9.21 inches,2.53 pounds,English,"Springer; 1st ed. 2021 edition (December 15, 2020)", 978-3030593377,/Machine-Learning-Data-Analytics-Paradigms/dp/3030593371/ref=sr_1_158?keywords=data+analysis&qid=1663454642&sr=8-158
289,"Software Architecture Patterns for Serverless Systems: Architecting for innovation with events, autonomous services, and micro frontends","['by ', 'John Gilbert', ' and ', 'Ed Price']",$45.00,436 pages,4.8 out of 5 stars,21 ratings,['\n            \n              81%\n            \n          '],['\n            \n              19%\n            \n          '],[],[],[],7.5 x 0.99 x 9.25 inches,1.64 pounds,English,"Packt Publishing (July 30, 2021)", 978-1800207035,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A07893703DGFWBADGTZX1&url=%2FSoftware-Architecture-Patterns-Serverless-Systems%2Fdp%2F1800207034%2Fref%3Dsr_1_164_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1663454642%26sr%3D8-164-spons%26psc%3D1&qualifier=1663454642&id=7777943298696266&widgetName=sp_mtf
290,"Bayesian Statistics the Fun Way: Understanding Statistics and Probability with Star Wars, LEGO, and Rubber Ducks","['by ', 'Will Kurt']",$33.20,256 pages,4.6 out of 5 stars,462 ratings,['\n            \n              74%\n            \n          '],['\n            \n              17%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              1%\n            \n          '],7 x 0.66 x 9.25 inches,1.1 pounds,English,"No Starch Press; Illustrated edition (July 9, 2019)", 978-1593279561,/Bayesian-Statistics-Fun-Will-Kurt/dp/1593279566/ref=sr_1_153?keywords=data+analysis&qid=1663454642&sr=8-153
291,"SQL for Data Analytics: Harness the power of SQL to extract insights from data, 3rd Edition","['by ', 'Jun Shan', ', ', 'Matt Goldwasser', ', et al.']",$44.99,540 pages,5.0 out of 5 stars,6 ratings,['\n            \n              100%\n            \n          '],[],[],[],[],7.5 x 1.22 x 9.25 inches,2.02 pounds,English,"Packt Publishing; 3rd ed. edition (August 29, 2022)", 978-1801812870,/SQL-Data-Analytics-Harness-insights/dp/180181287X/ref=sr_1_155?keywords=data+analysis&qid=1663454642&sr=8-155
