,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link
178,Business Statistics For Dummies,"['by ', 'Alan Anderson']", $16.79 ,416 pages,4.5 out of 5 stars,201 ratings,['\n            \n              71%\n            \n          '],['\n            \n              18%\n            \n          '],['\n            \n              8%\n            \n          '],['\n            \n              3%\n            \n          '],[],7.42 x 0.8 x 9.23 inches,1.32 pounds,English,"For Dummies; 1st edition (November 26, 2013)",,/Business-Statistics-Dummies-Alan-Anderson/dp/1118630696/ref=sr_1_111?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663453014&sprefix=statisti%2Caps%2C263&sr=8-111
179,"The Little SAS® Book: A Primer, Sixth Edition","['by ', 'Lora D. Delwiche', ' and ', 'Susan J. Slaughter']",$54.10,364 pages,4.6 out of 5 stars,283 ratings,['\n            \n              75%\n            \n          '],['\n            \n              16%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              2%\n            \n          '],7.5 x 0.82 x 9.25 inches,1.38 pounds,English,"SAS Institute; 6th edition (October 11, 2019)", 978-1642952834,/Little-SAS-Book-Primer-Sixth/dp/1642952834/ref=sr_1_107?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663453014&sprefix=statisti%2Caps%2C263&sr=8-107
180,Statistik: Übungsbuch (De Gruyter Studium) (German Edition),"['by ', 'Stocker', ', ', 'Toni', ', et al.']", $34.99 ,320 pages,5.0 out of 5 stars,1 rating,['\n            \n              100%\n            \n          '],[],[],[],[],6.69 x 0.64 x 9.61 inches,1.08 pounds,German,"De Gruyter Oldenbourg; 2nd edition (January 31, 2022)",,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A0538826TTAZ1O3BZRW7&url=%2FStatistik-%25C3%259Cbungsbuch-German-Stocker%2Fdp%2F3110744112%2Fref%3Dsr_1_113_sspa%3Fcrid%3D34NU2WDUOI6UY%26keywords%3Dstatistics%26qid%3D1663453014%26sprefix%3Dstatisti%252Caps%252C263%26sr%3D8-113-spons%26psc%3D1&qualifier=1663453014&id=8525798811265763&widgetName=sp_mtf
181,Tutor in a Book's Statistics: Volume 2,"['by ', 'Dr. James R., Ph.D.']",$36.00,182 pages,,,[],[],[],[],[],8.5 x 0.39 x 11.02 inches,15.4 ounces,English,"CreateSpace Independent Publishing Platform (October 23, 2016)", 978-1539696711,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A04670551GAJHQCS1810W&url=%2FTutor-Books-Statistics-Ph-D-James%2Fdp%2F1539696715%2Fref%3Dsr_1_116_sspa%3Fcrid%3D34NU2WDUOI6UY%26keywords%3Dstatistics%26qid%3D1663453014%26sprefix%3Dstatisti%252Caps%252C263%26sr%3D8-116-spons%26psc%3D1&qualifier=1663453014&id=8525798811265763&widgetName=sp_mtf
182,Problems And Solutions On Thermodynamics And Statistical Mechanics (second Edition) (Major American Universities Ph.d. Qualifying Questions And Solutions - Physics),"['by ', 'Swee Cheng Lim', ', ', 'Choy Heng Lai', ', et al.']",$118.00,404 pages,,,[],[],[],[],[],6 x 1.1 x 9 inches,1.56 pounds,English,"WSPC; 2nd edition (November 18, 2021)", 978-9811250804,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A10026592X7OISMOU3JDW&url=%2FSolutions-Thermodynamics-Statistical-Universities-Qualifying%2Fdp%2F9811250804%2Fref%3Dsr_1_114_sspa%3Fcrid%3D34NU2WDUOI6UY%26keywords%3Dstatistics%26qid%3D1663453014%26sprefix%3Dstatisti%252Caps%252C263%26sr%3D8-114-spons%26psc%3D1&qualifier=1663453014&id=8525798811265763&widgetName=sp_mtf
183,Statistik: Grundlagen und Methodik (De Gruyter Studium) (German Edition),"['by ', 'Stocker', ', ', 'Toni', ', et al.']", $40.99 ,720 pages,5.0 out of 5 stars,1 rating,['\n            \n              100%\n            \n          '],[],[],[],[],6.69 x 1.57 x 9.61 inches,2.73 pounds,German,"De Gruyter Oldenbourg; 2nd edition (January 31, 2022)",,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A03636013I5EHURGKEYBG&url=%2FStatistik-Grundlagen-Methodik-Gruyter-Studium%2Fdp%2F3110744090%2Fref%3Dsr_1_115_sspa%3Fcrid%3D34NU2WDUOI6UY%26keywords%3Dstatistics%26qid%3D1663453014%26sprefix%3Dstatisti%252Caps%252C263%26sr%3D8-115-spons%26psc%3D1&qualifier=1663453014&id=8525798811265763&widgetName=sp_mtf
184,Statistics for Every Fan: Springfield College Sports Statistics,"['by ', 'Carl Fetteroll', ', ', 'Joyce Fetteroll', ', et al.']", $24.99 ,318 pages,5.0 out of 5 stars,6 ratings,['\n            \n              100%\n            \n          '],[],[],[],[],6 x 0.72 x 9 inches,15.2 ounces,English,"Independently published (August 30, 2020)",,/Statistics-Every-Fan-Springfield-College/dp/B08GV8ZZSY/ref=sr_1_106?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663453014&sprefix=statisti%2Caps%2C263&sr=8-106
185,"Standard Deviants: Statistics, Vol. 1 [DVD]",[], $16.49 ,,4.4 out of 5 stars,13 ratings,['\n            \n              51%\n            \n          '],['\n            \n              38%\n            \n          '],['\n            \n              11%\n            \n          '],[],[],7.5 x 5.5 x 0.5 inches; 2.93 Ounces,,,,,/Standard-Deviants-Statistics-Vol-1/dp/B000VE4UJC/ref=sr_1_105?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663453014&sprefix=statisti%2Caps%2C263&sr=8-105
186,SPSS Statistics For Dummies,"['by ', 'Jesus Salcedo', ' and ', 'Keith McCormick']",$22.99,480 pages,4.4 out of 5 stars,124 ratings,['\n            \n              63%\n            \n          '],['\n            \n              23%\n            \n          '],['\n            \n              9%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              3%\n            \n          '],7.38 x 1.09 x 9.25 inches,1.41 pounds,English,"For Dummies; 4th edition (August 10, 2020)", 978-1119560838,/SPSS-Statistics-Dummies-Keith-McCormick/dp/1119560837/ref=sr_1_104?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663453014&sprefix=statisti%2Caps%2C263&sr=8-104
187,A Gentle Introduction to Stata,"['by ', 'Alan C. Acock']",$69.56,570 pages,4.6 out of 5 stars,74 ratings,['\n            \n              81%\n            \n          '],['\n            \n              9%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              3%\n            \n          '],7.2 x 1.5 x 9.3 inches,2.65 pounds,English,"Stata Press; Sixth edition (April 12, 2018)", 978-1597182690,/Gentle-Introduction-Stata-Alan-Acock/dp/1597182699/ref=sr_1_103?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663453014&sprefix=statisti%2Caps%2C263&sr=8-103
