,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link
41,"Python for Data Analysis: Data Wrangling with pandas, NumPy, and Jupyter","['by ', 'Wes McKinney']",$62.99,579 pages,5.0 out of 5 stars,1 rating,['\n            \n              100%\n            \n          '],[],[],[],[],9.1 x 1.2 x 6.9 inches,2.07 pounds,English,"O'Reilly Media; 3rd edition (September 20, 2022)", 978-1098104030,/Python-Data-Analysis-Wrangling-Jupyter/dp/109810403X/ref=sr_1_30?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-30
42,Modern Data Science with R (Chapman & Hall/CRC Texts in Statistical Science),[' '],$72.59,632 pages,3.9 out of 5 stars,9 ratings,['\n            \n              69%\n            \n          '],['\n            \n              15%\n            \n          '],['\n            \n              15%\n            \n          '],[],[],7.25 x 1.5 x 10.25 inches,3.31 pounds,English,"Chapman and Hall/CRC; 2nd edition (April 14, 2021)", 978-0367191498,/Modern-Science-Chapman-Texts-Statistical/dp/0367191490/ref=sr_1_31?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-31
43,"Machine Learning: 4 Books in 1: The #1 Beginner's Guide to Master the Basics of Python Programming, Learn the Art of Data Science and Build Artificial Intelligence","['by ', 'Andrew Park']",$25.97,342 pages,4.6 out of 5 stars,344 ratings,['\n            \n              81%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              1%\n            \n          '],['\n            \n              5%\n            \n          '],6 x 0.78 x 9 inches,1.29 pounds,English,"Independently published (July 20, 2022)", 979-8841495048,/Machine-Learning-Programming-Artificial-Intelligence/dp/B0B6XLFWPL/ref=sr_1_29?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-29
44,Building Big Data Pipelines with Apache Beam: Use a single programming model for both batch and stream data processing,"['by ', 'Jan Lukavsky']",$46.99,342 pages,3.9 out of 5 stars,11 ratings,['\n            \n              55%\n            \n          '],['\n            \n              19%\n            \n          '],['\n            \n              13%\n            \n          '],['\n            \n              13%\n            \n          '],[],7.5 x 0.78 x 9.25 inches,1.3 pounds,English,"Packt Publishing (January 21, 2022)", 978-1800564930,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0799207EVNWBH1XZ7SS&url=%2FBuilding-Data-Pipelines-Apache-Beam%2Fdp%2F1800564937%2Fref%3Dsr_1_36_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1663447969%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-36-spons%26psc%3D1&qualifier=1663447969&id=821362400294070&widgetName=sp_mtf
45,Algorithmic Finance: A Companion To Data Science,"['by ', 'Christopher Hian-ann Ting']",$116.85,408 pages,,,[],[],[],[],[],6 x 1.15 x 9 inches,1.58 pounds,English,"WSPC (May 6, 2022)", 978-9811238307,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A037424531TX4FHY2WGY6&url=%2FAlgorithmic-Finance-Companion-Data-Science%2Fdp%2F9811238308%2Fref%3Dsr_1_35_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1663447969%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-35-spons%26psc%3D1&qualifier=1663447969&id=821362400294070&widgetName=sp_mtf
46,"Data Science on AWS: Implementing End-to-End, Continuous AI and Machine Learning Pipelines","['by ', 'Chris Fregly', ' and ', 'Antje Barth']",$31.99,521 pages,4.4 out of 5 stars,135 ratings,['\n            \n              70%\n            \n          '],['\n            \n              14%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              7%\n            \n          '],['\n            \n              4%\n            \n          '],7 x 1.05 x 9.19 inches,1.82 pounds,English,"O'Reilly Media; 1st edition (May 11, 2021)", 978-1492079392,/Data-Science-AWS-End-End/dp/1492079391/ref=sr_1_27?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-27
47,Naked Statistics: Stripping the Dread from the Data,[' '],$11.69,304 pages,4.6 out of 5 stars,"2,271 ratings",['\n            \n              72%\n            \n          '],['\n            \n              19%\n            \n          '],['\n            \n              6%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              2%\n            \n          '],5.5 x 0.8 x 8.2 inches,7.1 ounces,English,"W. W. Norton & Company; 1st edition (January 13, 2014)", 978-0393347777,/Naked-Statistics-Stripping-Dread-Data/dp/039334777X/ref=sr_1_28?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-28
48,"How To Win With Your Data Visualizations: The 5 Part Guide for Junior Analysts to Create Effective Data Visualizations and Engaging Data Stories ... Data Visualization, and Communicating Data)","['by ', 'Elizabeth Clarke']", $15.49 ,188 pages,4.5 out of 5 stars,48 ratings,['\n            \n              66%\n            \n          '],['\n            \n              23%\n            \n          '],['\n            \n              7%\n            \n          '],['\n            \n              4%\n            \n          '],[],5.5 x 0.48 x 8.5 inches,9.9 ounces,English,"Ken Fornari (November 9, 2021)",,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A10346183NSI2IEUGQK3Z&url=%2FHow-Win-Your-Data-Visualizations%2Fdp%2F1777967104%2Fref%3Dsr_1_34_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1663447969%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-34-spons%26psc%3D1&qualifier=1663447969&id=821362400294070&widgetName=sp_mtf
49,Bayesian Ideas and Data Analysis: An Introduction for Scientists and Statisticians (Chapman & Hall/CRC Texts in Statistical Science),[' '],$64.10,516 pages,4.0 out of 5 stars,14 ratings,['\n            \n              55%\n            \n          '],['\n            \n              19%\n            \n          '],['\n            \n              8%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              8%\n            \n          '],6.9 x 1.1 x 10 inches,2.35 pounds,English,"CRC Press; 1st edition (July 2, 2010)", 978-1439803547,/Bayesian-Ideas-Data-Analysis-Statisticians/dp/1439803544/ref=sr_1_108?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447986&sprefix=data+science%2Caps%2C828&sr=8-108
50,Julia Data Science,"['by ', 'Jose Storopoli', ', ', 'Rik Huijzer', ', et al.']",$31.99,170 pages,4.5 out of 5 stars,9 ratings,['\n            \n              74%\n            \n          '],['\n            \n              26%\n            \n          '],[],[],[],7 x 0.4 x 10 inches,13.9 ounces,English,"Independently published (October 28, 2021)", 979-8489859165,/Julia-Data-Science-Jose-Storopoli/dp/B09KMRKQ96/ref=sr_1_107?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447986&sprefix=data+science%2Caps%2C828&sr=8-107
51,Data Analysis for Social Science: A Friendly and Practical Introduction,"['by ', 'Elena Llaudet', ' and ', 'Kosuke Imai']",,,,,[],[],[],[],[],,,English,"Princeton University Press (September 13, 2022)",,/Data-Analysis-Social-Science-Introduction-ebook/dp/B0B64LFC91/ref=sr_1_105?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447986&sprefix=data+science%2Caps%2C828&sr=8-105
52,"Listening to People: A Practical Guide to Interviewing, Participant Observation, Data Analysis, and Writing It All Up (Chicago Guides to Writing, Editing, and Publishing)",[' '],$19.00,333 pages,4.5 out of 5 stars,33 ratings,['\n            \n              73%\n            \n          '],['\n            \n              16%\n            \n          '],['\n            \n              7%\n            \n          '],['\n            \n              5%\n            \n          '],[],6 x 0.9 x 9 inches,1.01 pounds,English,"University of Chicago Press (October 15, 2021)", 978-0226806433,/Listening-People-Interviewing-Participant-Observation/dp/022680643X/ref=sr_1_101?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447986&sprefix=data+science%2Caps%2C828&sr=8-101
53,Doing Data Science: Straight Talk from the Frontline,"['by ', ""Cathy O'Neil"", ' and ', 'Rachel Schutt']",$26.30,408 pages,4.3 out of 5 stars,172 ratings,['\n            \n              60%\n            \n          '],['\n            \n              24%\n            \n          '],['\n            \n              7%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              3%\n            \n          '],6 x 0.78 x 9 inches,1.2 pounds,English,"O'Reilly Media; 1st edition (November 19, 2013)", 978-1449358655,/Doing-Data-Science-Straight-Frontline/dp/1449358659/ref=sr_1_104?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447986&sprefix=data+science%2Caps%2C828&sr=8-104
54,"Microsoft Power BI Quick Start Guide: Bring your data to life through data modeling, visualization, digital storytelling, and more, 2nd Edition","['by ', 'Devin Knight', ', ', 'Mitchell Pearson', ', et al.']",$28.49,294 pages,4.3 out of 5 stars,142 ratings,['\n            \n              57%\n            \n          '],['\n            \n              23%\n            \n          '],['\n            \n              14%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              2%\n            \n          '],7.5 x 0.67 x 9.25 inches,1.12 pounds,English,"Packt Publishing; 2nd ed. edition (October 30, 2020)", 978-1800561571,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A086028025VJ5JI7P7CRD&url=%2FMicrosoft-Power-Quick-Start-Guide%2Fdp%2F1800561571%2Fref%3Dsr_1_33_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1663447969%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-33-spons%26psc%3D1&qualifier=1663447969&id=821362400294070&widgetName=sp_mtf
55,The Model Thinker: What You Need to Know to Make Data Work for You,"['by ', 'Scott E. Page', ', ', 'Jamie Renell', ', et al.']",,,4.5 out of 5 stars,444 ratings,['\n            \n              69%\n            \n          '],['\n            \n              19%\n            \n          '],['\n            \n              6%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              2%\n            \n          '],,,,,,/Model-Thinker-What-Need-Know/dp/B08WHN4M7S/ref=sr_1_106?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447986&sprefix=data+science%2Caps%2C828&sr=8-106
56,"R in Action, Third Edition: Data analysis and graphics with R and Tidyverse","['by ', 'Robert I. Kabacoff']",$56.99,656 pages,4.6 out of 5 stars,8 ratings,['\n            \n              82%\n            \n          '],['\n            \n              18%\n            \n          '],[],[],[],7.38 x 1.5 x 9.25 inches,2.15 pounds,English,"Manning; 3rd edition (May 3, 2022)", 978-1617296055,/Action-Third-Robert-I-Kabacoff/dp/1617296058/ref=sr_1_103?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447986&sprefix=data+science%2Caps%2C828&sr=8-103
57,"Data Science Ethics: Concepts, Techniques, and Cautionary Tales","['by ', 'David Martens']",$37.20,272 pages,5.0 out of 5 stars,2 ratings,['\n            \n              100%\n            \n          '],[],[],[],[],9.4 x 0.6 x 6.2 inches,15.5 ounces,English,"Oxford University Press (June 24, 2022)", 978-0192847270,/Data-Science-Ethics-Techniques-Cautionary/dp/0192847279/ref=sr_1_102?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447986&sprefix=data+science%2Caps%2C828&sr=8-102
58,DATA SCIENCE INTERVIEW QUESTIONS: A DATA SCIENTIST’S GUIDE TO A SUCCESSFUL DATA SCIENCE INTERVIEW,"['by ', 'Jose  George']",,38 pages,5.0 out of 5 stars,1 rating,['\n            \n              100%\n            \n          '],[],[],[],[],,,English,,,/DATA-SCIENCE-INTERVIEW-QUESTIONS-SCIENTISTS-ebook/dp/B0B84DHNYB/ref=sr_1_99?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447986&sprefix=data+science%2Caps%2C828&sr=8-99
59,Data Science and Machine Learning: Mathematical and Statistical Methods (Chapman & Hall/CRC Machine Learning & Pattern Recognition),[' '],$77.43,510 pages,4.8 out of 5 stars,37 ratings,['\n            \n              84%\n            \n          '],['\n            \n              9%\n            \n          '],['\n            \n              7%\n            \n          '],[],[],8.9 x 1.2 x 11 inches,3.73 pounds,English,"Chapman and Hall/CRC; 1st edition (November 22, 2019)", 978-1138492530,/Data-Science-Machine-Learning-Mathematical/dp/1138492531/ref=sr_1_97?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447986&sprefix=data+science%2Caps%2C828&sr=8-97
