,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link
10,Introductory Statistics,"['by ', 'Barbara Illowsky', ', ', 'Susan Dean', ', et al.']",,913 pages,4.4 out of 5 stars,"1,429 ratings",['\n            \n              73%\n            \n          '],['\n            \n              11%\n            \n          '],['\n            \n              9%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              5%\n            \n          '],,,English,"OpenStax; 1st edition (September 19, 2013)",,/Introductory-Statistics-Barbara-Illowsk-ebook/dp/B075FF48ST/ref=sr_1_12?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-12
11,"Introduction to Probability, Statistics, and Random Processes","['by ', 'Hossein Pishro-Nik']",$36.58,744 pages,4.6 out of 5 stars,233 ratings,['\n            \n              80%\n            \n          '],['\n            \n              11%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              2%\n            \n          '],7.44 x 1.68 x 9.69 inches,3.16 pounds,English,"Kappa Research, LLC (August 24, 2014)", 978-0990637202,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01928871JSHSV6VFQYWL&url=%2FIntroduction-Probability-Statistics-Random-Processes%2Fdp%2F0990637204%2Fref%3Dsr_1_3_sspa%3Fcrid%3D34NU2WDUOI6UY%26keywords%3Dstatistics%26qid%3D1663452322%26sprefix%3Dstatisti%252Caps%252C263%26sr%3D8-3-spons%26psc%3D1&qualifier=1663452322&id=796567592952104&widgetName=sp_atf
12,Introduction to Statistics: An Intuitive Guide for Analyzing Data and Unlocking Discoveries,"['by ', 'Jim Frost']",$18.91,255 pages,4.5 out of 5 stars,199 ratings,['\n            \n              72%\n            \n          '],['\n            \n              15%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              4%\n            \n          '],6 x 0.58 x 9 inches,12.2 ounces,English,"Statistics By Jim Publishing (August 13, 2020)", 978-1735431109,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04620292602OL2X6I84G&url=%2FIntroduction-Statistics-Intuitive-Analyzing-Discoveries%2Fdp%2F1735431109%2Fref%3Dsr_1_1_sspa%3Fcrid%3D34NU2WDUOI6UY%26keywords%3Dstatistics%26qid%3D1663452322%26sprefix%3Dstatisti%252Caps%252C263%26sr%3D8-1-spons%26psc%3D1&qualifier=1663452322&id=796567592952104&widgetName=sp_atf
13,How to Lie with Statistics,"['by ', 'Darrell Huff', ' and ', 'Irving Geis']", $8.89 ,144 pages,4.6 out of 5 stars,"2,813 ratings",['\n            \n              72%\n            \n          '],['\n            \n              16%\n            \n          '],['\n            \n              8%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              2%\n            \n          '],5.5 x 0.5 x 8.3 inches,3.84 ounces,English,"W. W. Norton & Company; Reissue edition (October 17, 1993)",,/How-Lie-Statistics-Darrell-Huff/dp/0393310728/ref=sr_1_13?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-13
14,"Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics","['by ', 'Thomas Nield']",$44.80,347 pages,4.5 out of 5 stars,27 ratings,['\n            \n              79%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              5%\n            \n          '],7 x 0.75 x 9 inches,1.23 pounds,English,"O'Reilly Media; 1st edition (July 5, 2022)", 978-1098102937,/Essential-Math-Data-Science-Fundamental/dp/1098102932/ref=sr_1_11?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-11
15,"Princeton Review AP Statistics Prep, 2022: 4 Practice Tests + Complete Content Review + Strategies & Techniques (2022) (College Test Preparation)","['by ', 'The Princeton Review']",$18.99,464 pages,4.6 out of 5 stars,130 ratings,['\n            \n              77%\n            \n          '],['\n            \n              16%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              1%\n            \n          '],['\n            \n              3%\n            \n          '],8.3 x 1.04 x 10.79 inches,1.63 pounds,English,"Princeton Review (August 3, 2021)", 978-0525570745,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A029982238CTEEOQOYD70&url=%2FPrinceton-Review-Statistics-Prep-2022%2Fdp%2F0525570748%2Fref%3Dsr_1_2_sspa%3Fcrid%3D34NU2WDUOI6UY%26keywords%3Dstatistics%26qid%3D1663452322%26sprefix%3Dstatisti%252Caps%252C263%26sr%3D8-2-spons%26psc%3D1&qualifier=1663452322&id=796567592952104&widgetName=sp_atf
16,The Probability and Statistics Tutor - 10 Hour Course - 3 DVD Set - Learn By Examples!,[], $39.99 ,,4.2 out of 5 stars,45 ratings,['\n            \n              65%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              20%\n            \n          '],[],7.5 x 5.5 x 0.5 inches; 4.8 Ounces,,,,,/Probability-Statistics-Tutor-Course-Examples/dp/B0016G8HX4/ref=sr_1_60?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-60
17,Statistics in Plain English,"['by ', 'Timothy C. Urdan']",$39.16,266 pages,4.7 out of 5 stars,190 ratings,['\n            \n              80%\n            \n          '],['\n            \n              11%\n            \n          '],['\n            \n              7%\n            \n          '],['\n            \n              2%\n            \n          '],[],8.5 x 0.65 x 11 inches,1.5 pounds,English,"Routledge; 4th edition (July 25, 2016)", 978-1138838345,/Statistics-Course-Pack-Set-Op/dp/1138838349/ref=sr_1_56?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-56
18,"Princeton Review AP Statistics Prep, 2023: 5 Practice Tests + Complete Content Review + Strategies & Techniques (College Test Preparation)","['by ', 'The Princeton Review']",$18.99,464 pages,4.6 out of 5 stars,3 ratings,['\n            \n              63%\n            \n          '],['\n            \n              37%\n            \n          '],[],[],[],8.3 x 1.08 x 10.8 inches,1.55 pounds,English,"Princeton Review (August 23, 2022)", 978-0593450895,/Princeton-Review-Statistics-Prep-2023/dp/0593450892/ref=sr_1_55?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-55
19,OpenIntro Statistics: Fourth Edition,"['by ', 'David Diez', ', ', 'Mine Çetinkaya-Rundel', ', et al.']", $20.00 ,422 pages,4.4 out of 5 stars,530 ratings,['\n            \n              73%\n            \n          '],['\n            \n              12%\n            \n          '],['\n            \n              6%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              6%\n            \n          '],8.5 x 0.96 x 11 inches,2.57 pounds,English,"OpenIntro, Inc. (May 1, 2019)",,/OpenIntro-Statistics-Fourth-David-Diez/dp/1943450072/ref=sr_1_58?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-58
20,The Signal and the Noise: Why So Many Predictions Fail--but Some Don't,"['by ', 'Nate Silver']", $17.62 ,576 pages,4.5 out of 5 stars,"1,934 ratings",['\n            \n              65%\n            \n          '],['\n            \n              22%\n            \n          '],['\n            \n              9%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              1%\n            \n          '],5.5 x 1 x 8.4 inches,1.15 pounds,English,"Penguin Books; Illustrated edition (February 3, 2015)",,/Signal-Noise-Many-Predictions-Fail-but/dp/0143125087/ref=sr_1_59?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-59
21,Against the Gods: The Remarkable Story of Risk,"['by ', 'Peter L. Bernstein']", $11.79 ,400 pages,4.4 out of 5 stars,987 ratings,['\n            \n              67%\n            \n          '],['\n            \n              18%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              2%\n            \n          '],6 x 1.2 x 8.9 inches,1.07 pounds,English,"Wiley; Edition Unstated (August 31, 1998)",,/Against-Gods-Remarkable-Story-Risk/dp/0471295639/ref=sr_1_54?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-54
22,Mathematical Statistics with Applications,"['by ', 'Dennis Wackerly', ', ', 'William Mendenhall', ', et al.']",$95.66,944 pages,4.2 out of 5 stars,282 ratings,['\n            \n              63%\n            \n          '],['\n            \n              15%\n            \n          '],['\n            \n              11%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              7%\n            \n          '],7.5 x 1.5 x 9.25 inches,3.6 pounds,English,"Thomson Brooks/Cole; 7th edition (January 1, 2008)", 978-0495110811,/Mathematical-Statistics-Applications-Dennis-Wackerly/dp/0495110817/ref=sr_1_57?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-57
23,UPDATED Version of The Practice of Statistics,"['by ', 'Daren S. Starnes', ' and ', 'Josh Tabor']",$179.95,1024 pages,4.4 out of 5 stars,41 ratings,['\n            \n              76%\n            \n          '],['\n            \n              8%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              9%\n            \n          '],8.9 x 1.55 x 11.2 inches,4.77 pounds,English,"W. H. Freeman; Sixth edition (December 16, 2019)", 978-1319269296,/UPDATED-Version-Practice-Statistics-Starnes/dp/131926929X/ref=sr_1_52?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-52
24,"Introduction to Probability, Statistics, and Random Processes","['by ', 'Hossein Pishro-Nik']",$36.58,744 pages,4.6 out of 5 stars,233 ratings,['\n            \n              80%\n            \n          '],['\n            \n              11%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              2%\n            \n          '],7.44 x 1.68 x 9.69 inches,3.16 pounds,English,"Kappa Research, LLC (August 24, 2014)", 978-0990637202,/Introduction-Probability-Statistics-Random-Processes/dp/0990637204/ref=sr_1_49?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-49
25,"Princeton Review AP Statistics Prep, 2022: 4 Practice Tests + Complete Content Review + Strategies & Techniques (2022) (College Test Preparation)","['by ', 'The Princeton Review']",$18.99,464 pages,4.6 out of 5 stars,130 ratings,['\n            \n              77%\n            \n          '],['\n            \n              16%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              1%\n            \n          '],['\n            \n              3%\n            \n          '],8.3 x 1.04 x 10.79 inches,1.63 pounds,English,"Princeton Review (August 3, 2021)", 978-0525570745,/Princeton-Review-Statistics-Prep-2022/dp/0525570748/ref=sr_1_51?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-51
26,"Essentials of Statistics for the Behavioral Sciences, 10th Edition, Paperback","['by ', 'Nary']", $23.39 ,688 pages,4.2 out of 5 stars,8 ratings,['\n            \n              37%\n            \n          '],['\n            \n              47%\n            \n          '],['\n            \n              16%\n            \n          '],[],[],8 x 1.55 x 10 inches,3.64 pounds,English,"Independently published (July 13, 2022)",,/Essentials-Statistics-Behavioral-Sciences-Paperback/dp/B0B5Q3MN2X/ref=sr_1_48?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-48
27,Hypothesis Testing: An Intuitive Guide for Making Data Driven Decisions,"['by ', 'Jim Frost']",$23.74,381 pages,4.6 out of 5 stars,101 ratings,['\n            \n              78%\n            \n          '],['\n            \n              13%\n            \n          '],['\n            \n              2%\n            \n          '],['\n            \n              3%\n            \n          '],['\n            \n              4%\n            \n          '],6 x 0.86 x 9 inches,1.12 pounds,English,"Statistics By Jim Publishing (September 14, 2020)", 978-1735431154,/Hypothesis-Testing-Intuitive-Making-Decisions/dp/173543115X/ref=sr_1_53?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-53
28,"Advanced Statistics in Research: Reading, Understanding, and Writing Up Data Analysis Results","['by ', 'Larry Hatcher']",$59.95,644 pages,4.7 out of 5 stars,96 ratings,['\n            \n              82%\n            \n          '],['\n            \n              10%\n            \n          '],['\n            \n              5%\n            \n          '],['\n            \n              3%\n            \n          '],[],7 x 1.46 x 10 inches,2.43 pounds,English,"Shadow Finch Media LLC; Illustrated edition (January 7, 2013)", 978-0985867003,/Advanced-Statistics-Research-Understanding-Analysis/dp/0985867000/ref=sr_1_46?crid=34NU2WDUOI6UY&keywords=statistics&qid=1663452322&sprefix=statisti%2Caps%2C263&sr=8-46
