,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link
228,Learning Unix for OS X: Going Deep With the Terminal and Shell,"['by ', 'Dave Taylor']",$24.99,238 pages,4.4 out of 5 stars,77 ratings,['\n            \n              56%\n            \n          '],['\n            \n              32%\n            \n          '],['\n            \n              4%\n            \n          '],['\n            \n              8%\n            \n          '],[],7 x 0.54 x 9.19 inches,14.5 ounces,English,"O'Reilly Media; 2nd edition (February 23, 2016)", 978-1491939987,/Learning-Unix-OS-Going-Terminal/dp/1491939982/ref=sr_1_247?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460523&sprefix=deep+learnin%2Caps%2C449&sr=8-247
229,Deep Machine Learning: 3 in 1- A Comprehensive Beginner Developer Guide + Complete Tips and Tricks + Advanced Deep Machine Learning Techniques and Methods to learning Artificial Intelligence,"['by ', 'Joe Grant']", $24.99 ,450 pages,3.7 out of 5 stars,3 ratings,['\n            \n              37%\n            \n          '],['\n            \n              63%\n            \n          '],[],[],[],6 x 1.02 x 9 inches,1.32 pounds,English,"Independently published (November 12, 2020)",,/sspa/click?ie=UTF8&spc=MToxODY3NTk1MTQyODQyODkyOjE2NjM0NjA1MjM6c3BfbXRmOjIwMDA4MzAxNDA4MzM3MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FDeep-Machine-Learning-Comprehensive-Intelligence%2Fdp%2FB08NDVJWSQ%2Fref%3Dsr_1_258_sspa%3Fcrid%3D2HX2SCFCK032L%26keywords%3Ddeep%2Blearning%26qid%3D1663460523%26sprefix%3Ddeep%2Blearnin%252Caps%252C449%26sr%3D8-258-spons%26psc%3D1
230,Automated Machine Learning with AutoKeras: Deep learning made accessible for everyone with just few lines of coding,"['by ', 'Luis Sobrecueva']",$41.99,194 pages,4.7 out of 5 stars,11 ratings,['\n            \n              65%\n            \n          '],['\n            \n              35%\n            \n          '],[],[],[],7.5 x 0.44 x 9.25 inches,12.2 ounces,English,"Packt Publishing (May 21, 2021)", 978-1800567641,/sspa/click?ie=UTF8&spc=MToxODY3NTk1MTQyODQyODkyOjE2NjM0NjA1MjM6c3BfbXRmOjIwMDA2NzA0NjY1Njk3MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FAutomated-Machine-Learning-AutoKeras-accessible%2Fdp%2F1800567642%2Fref%3Dsr_1_257_sspa%3Fcrid%3D2HX2SCFCK032L%26keywords%3Ddeep%2Blearning%26qid%3D1663460523%26sprefix%3Ddeep%2Blearnin%252Caps%252C449%26sr%3D8-257-spons%26psc%3D1
231,Deep Learning with fastai Cookbook: Leverage the easy-to-use fastai framework to unlock the power of deep learning,"['by ', 'Mark Ryan']",,338 pages,4.6 out of 5 stars,13 ratings,['\n            \n              60%\n            \n          '],['\n            \n              40%\n            \n          '],[],[],[],,,English,"Packt Publishing; 1st edition (September 24, 2021)",,/Deep-Learning-fastai-Cookbook-easy-ebook/dp/B0971LB85Z/ref=sr_1_248?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460523&sprefix=deep+learnin%2Caps%2C449&sr=8-248
232,"Elements of Deep Learning for Computer Vision: Explore Deep Neural Network Architectures, PyTorch, Object Detection Algorithms, and Computer Vision Applications for Python Coders (English Edition)","['by ', 'Bharat Sikka']",,210 pages,3.6 out of 5 stars,9 ratings,['\n            \n              49%\n            \n          '],['\n            \n              14%\n            \n          '],['\n            \n              23%\n            \n          '],['\n            \n              14%\n            \n          '],[],,,English,"BPB Publications; 1st edition (June 24, 2021)",,/Elements-Deep-Learning-Computer-Vision-ebook/dp/B097TNCSM8/ref=sr_1_245?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460523&sprefix=deep+learnin%2Caps%2C449&sr=8-245
233,Deep Learning with R,"['by ', 'Abhijit Ghatak']",,384 pages,5.0 out of 5 stars,4 ratings,['\n            \n              100%\n            \n          '],[],[],[],[],,,English,"Springer; 1st ed. 2019 edition (April 13, 2019)",,/Deep-Learning-R-Abhijit-Ghatak-ebook/dp/B07QNDG1QF/ref=sr_1_246?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460523&sprefix=deep+learnin%2Caps%2C449&sr=8-246
234,"Deep Learning with TensorFlow: Explore neural networks and build intelligent systems with Python, 2nd Edition","['by ', 'Giancarlo Zaccone', ' and ', 'Md. Rezaul Karim']",$36.11,484 pages,3.2 out of 5 stars,7 ratings,['\n            \n              11%\n            \n          '],['\n            \n              32%\n            \n          '],['\n            \n              40%\n            \n          '],['\n            \n              17%\n            \n          '],[],7.5 x 1.09 x 9.25 inches,1.81 pounds,English,"Packt Publishing; 2nd Revised edition (March 30, 2018)", 978-1788831109,/sspa/click?ie=UTF8&spc=MToxODY3NTk1MTQyODQyODkyOjE2NjM0NjA1MjM6c3BfbXRmOjIwMDAwNTU0NjI1ODc3MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FDeep-Learning-TensorFlow-networks-intelligent%2Fdp%2F1788831101%2Fref%3Dsr_1_259_sspa%3Fcrid%3D2HX2SCFCK032L%26keywords%3Ddeep%2Blearning%26qid%3D1663460523%26sprefix%3Ddeep%2Blearnin%252Caps%252C449%26sr%3D8-259-spons%26psc%3D1
235,Advances in Electromagnetics Empowered by Artificial Intelligence and Deep Learning (IEEE Press Series on Electromagnetic Wave Theory),"['by ', 'Sawyer D. Campbell', ' and ', 'Douglas H. Werner']",$165.00,,,,[],[],[],[],[],,1.47 pounds,English,"Wiley-IEEE Press; 1st edition (May 16, 2023)", 978-1119853893,/Electromagnetics-Empowered-Artificial-Intelligence-Electromagnetic/dp/1119853893/ref=sr_1_224?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460513&sprefix=deep+learnin%2Caps%2C449&sr=8-224
236,Deep Learning: A Comprehensive Guide,"['by ', 'Shriram K Vasudevan', ', ', 'Sini Raj Pulari', ', et al.']", $31.17 ,290 pages,,,[],[],[],[],[],,,English,"Chapman and Hall/CRC; 1st edition (December 24, 2021)",,/Deep-Learning-Comprehensive-Shriram-Vasudevan-ebook/dp/B09NL97CQ5/ref=sr_1_223?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460513&sprefix=deep+learnin%2Caps%2C449&sr=8-223
237,Practical MATLAB Deep Learning: A Projects-Based Approach,"['by ', 'Michael Paluszek', ', ', 'Stephanie Thomas', ', et al.']",$38.34,348 pages,,,[],[],[],[],[],7 x 0.73 x 10 inches,1.35 pounds,English,"Apress; 2nd ed. edition (September 11, 2022)", 978-1484279113,/Practical-MATLAB-Deep-Learning-Projects-Based/dp/1484279115/ref=sr_1_221?crid=2HX2SCFCK032L&keywords=deep+learning&qid=1663460513&sprefix=deep+learnin%2Caps%2C449&sr=8-221
